Time,avg,min,max
2015-08-19 00:00:00 UTC,147.9976338,150.9121244,142.663548
2015-08-20 00:00:00 UTC,149.1649944,150.8711917,145.2517157
2015-08-21 00:00:00 UTC,148.9896285,150.6237579,147.2656908
2015-08-22 00:00:00 UTC,146.5452001,149.5914636,142.8479521
2015-08-23 00:00:00 UTC,146.2144077,148.5263698,143.7049712
2015-08-24 00:00:00 UTC,139.4907517,145.6076007,133.4761671
2015-08-25 00:00:00 UTC,136.8196897,144.4940815,129.3209386
2015-08-26 00:00:00 UTC,145.0923469,149.1701751,139.9825229
2015-08-27 00:00:00 UTC,146.4660662,148.7033349,144.1897197
2015-08-28 00:00:00 UTC,148.2338545,153.0663468,143.5267028
2015-08-29 00:00:00 UTC,149.7279436,151.8753687,147.7295638
2015-08-30 00:00:00 UTC,148.7384384,151.3583434,146.7852006
2015-08-31 00:00:00 UTC,148.9046876,151.7870147,146.017735
2015-09-01 00:00:00 UTC,149.0287135,150.904359,147.4171616
2015-09-02 00:00:00 UTC,149.3905231,151.0906415,147.7355313
2015-09-03 00:00:00 UTC,149.2493653,150.4254818,147.8168919
2015-09-04 00:00:00 UTC,150.9857301,152.6584552,148.7372784
2015-09-05 00:00:00 UTC,153.3459166,156.7854238,151.2767289
2015-09-06 00:00:00 UTC,158.2226126,159.7582798,154.9908997
2015-09-07 00:00:00 UTC,158.0583248,159.6386905,156.9643257
2015-09-08 00:00:00 UTC,158.7075631,160.3799027,157.0783298
2015-09-09 00:00:00 UTC,156.7225758,159.1568383,154.9537743
2015-09-10 00:00:00 UTC,155.2502813,156.9582978,153.7916743
2015-09-11 00:00:00 UTC,155.7817199,156.8200907,154.5937048
2015-09-12 00:00:00 UTC,154.6110966,156.8829958,151.8688751
2015-09-13 00:00:00 UTC,151.0355959,153.2304392,148.1231473
2015-09-14 00:00:00 UTC,149.2757652,151.6438866,147.3467649
2015-09-15 00:00:00 UTC,149.8954185,150.5828254,148.6085195
2015-09-16 00:00:00 UTC,148.4898305,150.8770357,146.6876774
2015-09-17 00:00:00 UTC,148.6336563,151.2782076,146.8695345
2015-09-18 00:00:00 UTC,149.9580007,151.124311,148.2125567
2015-09-19 00:00:00 UTC,149.4164873,151.4458739,148.6076884
2015-09-20 00:00:00 UTC,149.0428848,149.7981425,148.3273862
2015-09-21 00:00:00 UTC,147.0467586,149.4737538,145.5113271
2015-09-22 00:00:00 UTC,148.347592,150.5849683,144.7223403
2015-09-23 00:00:00 UTC,150.9051979,152.0459776,149.3962924
2015-09-24 00:00:00 UTC,152.5101461,154.9304555,150.6533096
2015-09-25 00:00:00 UTC,154.9433811,156.5494707,153.093839
2015-09-26 00:00:00 UTC,154.6077412,155.0162882,154.1669104
2015-09-27 00:00:00 UTC,153.8315339,154.6799772,152.7700871
2015-09-28 00:00:00 UTC,156.471732,158.4807763,153.0073706
2015-09-29 00:00:00 UTC,157.1562412,158.688393,155.6667789
2015-09-30 00:00:00 UTC,156.4609609,157.4946649,154.8651158
2015-10-01 00:00:00 UTC,156.875771,158.4065499,155.4269127
2015-10-02 00:00:00 UTC,156.9572286,158.1372589,155.733749
2015-10-03 00:00:00 UTC,157.3995168,158.4321528,156.0918991
2015-10-04 00:00:00 UTC,157.6880962,158.3497236,156.9727939
2015-10-05 00:00:00 UTC,157.5304072,159.4943007,155.4450176
2015-10-06 00:00:00 UTC,160.4177787,163.3866286,158.646936
2015-10-07 00:00:00 UTC,160.6430406,162.7962877,158.5447137
2015-10-08 00:00:00 UTC,159.3101854,160.2960652,157.955712
2015-10-09 00:00:00 UTC,159.0755165,160.1062707,157.8650942
2015-10-10 00:00:00 UTC,159.9657311,160.8988737,158.8842932
2015-10-11 00:00:00 UTC,160.7979459,162.2913716,159.7487877
2015-10-12 00:00:00 UTC,161.0331657,162.1161008,159.4293162
2015-10-13 00:00:00 UTC,162.4765693,165.3392085,159.0567726
2015-10-14 00:00:00 UTC,163.7138543,165.4880728,162.2232102
2015-10-15 00:00:00 UTC,164.5390424,166.1978095,162.6133651
2015-10-16 00:00:00 UTC,168.157564,172.7413458,164.2773019
2015-10-17 00:00:00 UTC,174.0981562,177.471027,169.8080327
2015-10-18 00:00:00 UTC,172.9428738,176.8453756,169.4650973
2015-10-19 00:00:00 UTC,170.7144095,172.2896755,169.1793302
2015-10-20 00:00:00 UTC,172.9681326,176.5752011,170.1173204
2015-10-21 00:00:00 UTC,173.9922083,176.4241756,171.3671097
2015-10-22 00:00:00 UTC,176.6356857,179.8228004,173.1534841
2015-10-23 00:00:00 UTC,180.5713791,182.4335272,178.2962011
2015-10-24 00:00:00 UTC,183.164672,185.3327216,181.7656578
2015-10-25 00:00:00 UTC,189.4630947,193.1870218,185.4340464
2015-10-26 00:00:00 UTC,185.8473444,187.4028856,184.1431571
2015-10-27 00:00:00 UTC,190.8168433,194.4605116,186.5335283
2015-10-28 00:00:00 UTC,197.0937646,200.6022165,192.4888676
2015-10-29 00:00:00 UTC,202.7690814,207.3190948,197.6312911
2015-10-30 00:00:00 UTC,211.6385084,217.3146707,204.9057784
2015-10-31 00:00:00 UTC,209.4379871,216.3537299,200.5081747
2015-11-01 00:00:00 UTC,205.4648336,209.3282054,200.8001296
2015-11-02 00:00:00 UTC,217.5383106,228.9586058,211.9823663
2015-11-03 00:00:00 UTC,248.8441156,268.6146575,235.0640608
2015-11-04 00:00:00 UTC,292.7194205,317.6761238,261.6818881
